trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'e': 0.49483865960020695, 'a': 0.2}",30,0,-127.01362517973685,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
71,False,"{'e': 0.4898902730042049, 'a': 0.2}",25,0,-49.07687029940499,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
72,False,"{'e': 0.48499137027416284, 'a': 0.2}",25,0,-99.7078636050792,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
73,False,"{'e': 0.4801414565714212, 'a': 0.2}",25,13,-8.686033436582417,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'e': 0.475340042005707, 'a': 0.2}",30,0,-51.72506043134314,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
75,False,"{'e': 0.47058664158564995, 'a': 0.2}",25,5,-115.23089697455842,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
76,False,"{'e': 0.4658807751697934, 'a': 0.2}",25,0,-38.993958015557155,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
77,False,"{'e': 0.4612219674180955, 'a': 0.2}",20,0,-38.83816403354729,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
78,False,"{'e': 0.45660974774391455, 'a': 0.2}",20,0,6.312540629459826,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
79,False,"{'e': 0.4520436502664754, 'a': 0.2}",20,0,15.648622814658008,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
80,False,"{'e': 0.44752321376381066, 'a': 0.2}",20,12,-13.863178352210364,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'e': 0.44304798162617254, 'a': 0.2}",25,0,-63.141617212756984,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
82,False,"{'e': 0.4386175018099108, 'a': 0.2}",35,17,-28.435501604138768,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
83,False,"{'e': 0.4342313267918117, 'a': 0.2}",25,7,14.05916144007194,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'e': 0.4298890135238936, 'a': 0.2}",25,12,-4.992437397308471,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'e': 0.42559012338865465, 'a': 0.2}",20,2,-1.5861449720534349,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
86,False,"{'e': 0.4213342221547681, 'a': 0.2}",25,0,-32.56145019327524,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
87,False,"{'e': 0.41712087993322045, 'a': 0.2}",20,12,18.097715974278188,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'e': 0.41294967113388825, 'a': 0.2}",25,12,-11.694967486752212,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
89,False,"{'e': 0.40882017442254937, 'a': 0.2}",20,0,-63.18692876413421,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
90,False,"{'e': 0.4047319726783239, 'a': 0.2}",20,3,-99.15877839333832,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 1}",1
91,False,"{'e': 0.40068465295154065, 'a': 0.2}",35,8,-80.50537357478166,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 2}",1
92,False,"{'e': 0.39667780642202527, 'a': 0.2}",30,3,-15.122529426966723,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
93,False,"{'e': 0.392711028357805, 'a': 0.2}",25,0,-85.94383496911773,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
94,False,"{'e': 0.38878391807422696, 'a': 0.2}",30,0,-4.773450309684401,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
95,False,"{'e': 0.3848960788934847, 'a': 0.2}",30,0,-84.8058584975694,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
96,False,"{'e': 0.38104711810454983, 'a': 0.2}",20,11,-31.222488552296035,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'e': 0.37723664692350434, 'a': 0.2}",25,0,-8.794987679056181,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
98,False,"{'e': 0.37346428045426927, 'a': 0.2}",25,0,-78.29648912274136,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
99,False,"{'e': 0.36972963764972655, 'a': 0.2}",35,0,-74.29858471662853,"{0: 28, 1: 3, 2: 2, 3: 0, 4: 2}",0
100,False,"{'e': 0.36603234127322926, 'a': 0.2}",30,14,15.293390281714977,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'e': 0.36237201786049694, 'a': 0.2}",20,6,-61.191263973919924,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
